Pressure (dB),Frequency (kHz),Angle (degrees),Length (m),Velocity (m/s),Displacement (m)
114.67,-0.5947273481604887,0.9929096456040424,0.16407754698105528,-0.7279524066871728,3.5258395287886173
129.235,-0.6579857174604559,-1.1613508177728427,1.805308155618184,-1.2332846627142544,-0.598537258224802
106.111,3.042628886587628,-0.9048912387994039,1.805308155618184,-0.7279524066871728,-0.552995080033347
127.676,-0.7528732714104068,1.8135802983190459,-1.2036146268832186,-1.2332846627142544,0.47565661696755945
125.817,-0.6579857174604559,-1.1613508177728427,0.16407754698105528,1.299773228256939,-0.7268272559487172
128.435,-0.6579857174604559,0.2748228244784141,-0.9300761921103639,-0.7279524066871728,-0.422657065354881
132.395,-0.5156543865355296,-0.01583136502481641,-0.38299932256465435,-0.7279524066871728,-0.41378906211637134
116.017,2.2518992703380376,1.0100069508689382,-1.2036146268832186,-0.7279524066871728,0.12849678393337133
131.582,0.35414819133902004,0.4628931823922691,-1.2036146268832186,0.2891087162027761,-0.5225046287871061
129.556,-0.5947273481604887,0.4628931823922691,-1.2036146268832186,1.299773228256939,-0.531626388512309
132.05,-0.4049522402605869,-1.1613508177728427,-0.38299932256465435,0.2891087162027761,-0.7477093937342075
128.825,-0.5947273481604887,-1.1613508177728427,-0.38299932256465435,1.299773228256939,-0.7558767595935288
114.258,3.042628886587628,-0.47745860717700606,0.9846928512996195,1.299773228256939,-0.5466354484376368
131.636,-0.5947273481604887,-0.01583136502481641,-0.38299932256465435,-1.2332846627142544,-0.40267243207542364
129.053,-0.6579857174604559,-1.1613508177728427,-0.38299932256465435,-1.2332846627142544,-0.734154006661854
133.48,-0.6579857174604559,-0.25519363873335926,0.9846928512996195,1.299773228256939,-0.45769567121217825
133.032,-0.4049522402605869,0.2748228244784141,-0.9300761921103639,0.2891087162027761,-0.43865719781230866
129.516,-0.5947273481604887,0.2748228244784141,-0.9300761921103639,-1.2332846627142544,-0.41176799275332787
116.074,-0.8477608253603577,0.4628931823922691,-1.2036146268832186,-0.7279524066871728,-0.5097935995819797
128.647,-0.27843550166065245,-1.1613508177728427,0.16407754698105528,1.299773228256939,-0.7268272559487172
117.432,1.619315577338365,-0.5971397440312775,-0.38299932256465435,-1.2332846627142544,-0.6582942909363295
131.918,1.0816194382886433,-1.1613508177728427,-0.9300761921103639,-0.7279524066871728,-0.7872331267802025
126.16,-0.7117553313654281,-1.1613508177728427,0.9846928512996195,0.2891087162027761,-0.6748363694007363
118.618,1.0816194382886433,-0.47745860717700606,0.9846928512996195,1.299773228256939,-0.5466354484376368
115.969,0.6704400378388563,-0.47745860717700606,0.9846928512996195,-1.2332846627142544,-0.4654446008589287
132.898,1.0816194382886433,-0.3406801650578388,-1.2036146268832186,-1.2332846627142544,-0.7768308324774594
116.468,0.08530012181415923,1.5058288035509197,-0.38299932256465435,1.299773228256939,2.42657241678718
116.924,-0.8319462330353659,0.4628931823922691,-1.2036146268832186,-0.7279524066871728,-0.5097935995819797
119.174,-0.6579857174604559,2.206818319411652,-0.9300761921103639,-0.7279524066871728,1.8844841864084907
112.93,1.0816194382886433,1.471634193021128,-0.9300761921103639,0.2891087162027761,1.1889743350485444
119.806,-0.7528732714104068,1.8135802983190459,-1.2036146268832186,1.299773228256939,0.35895108941492615
112.803,4.149650349337055,-1.1613508177728427,0.16407754698105528,0.2891087162027761,-0.7172548726099763
120.189,0.08530012181415923,-0.6484316598259652,1.805308155618184,0.2891087162027761,-0.5077942380009837
113.144,0.6704400378388563,0.08675246656455901,0.9846928512996195,0.2891087162027761,-0.010335710423545487
